Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,0,full_name,gid
Natchitoches Police Dept,LA,12,18378.0,157.0,1,6.0,19,131,1108.0,384,713.0,11.0,854.3,5.4,32.6,103.4,712.8,6028.9,2089.5,3879.6,59.9,natchitoches,"natchitoches,LA",05000US22069
Ouachita Parish Sheriff'S Office,LA,12,,183.0,6,8.0,28,141,2688.0,817,1784.0,87.0,,,,,,,,,,ouachita parish,"ouachita parish,LA",05000US22073
Rapides Parish Sheriff Department,LA,12,,83.0,0,23.0,14,46,1747.0,605,1095.0,47.0,,,,,,,,,,rapides parish,"rapides parish,LA",05000US22079
Slidell City Police Dept,LA,12,27581.0,106.0,2,13.0,17,74,1633.0,178,1414.0,41.0,384.3,7.3,47.1,61.6,268.3,5920.7,645.4,5126.7,148.7,slidell city,"slidell city,LA",16000US2270805
St. Bernard Parish Sheriff Office,LA,12,,94.0,0,7.0,33,54,667.0,133,499.0,35.0,,,,,,,,,,st. bernard parish,"st. bernard parish,LA",05000US22087
St. Charles Parish Sheriff Department,LA,12,,265.0,2,8.0,32,223,1605.0,409,1118.0,78.0,,,,,,,,,,st. charles parish,"st. charles parish,LA",05000US22089
St. John The Baptist Parish Sheriff Office,LA,12,,61.0,8,3.0,26,24,1308.0,423,812.0,73.0,,,,,,,,,,st. john the baptist parish,"st. john the baptist parish,LA",05000US22095
St. Landry Parish Sheriff Department,LA,12,,68.0,0,6.0,12,50,747.0,297,415.0,35.0,,,,,,,,,,st. landry parish,"st. landry parish,LA",05000US22097
St. Martin Parish Sheriff Department,LA,12,,127.0,2,6.0,14,105,675.0,120,548.0,7.0,,,,,,,,,,st. martin parish,"st. martin parish,LA",05000US22099
St. Tammany Parish Sheriff Department,LA,12,,261.0,7,15.0,15,224,2564.0,651,1755.0,158.0,,,,,,,,,,st. tammany parish,"st. tammany parish,LA",05000US22103
Sulphur City Police Dept,LA,12,20671.0,159.0,0,7.0,19,133,983.0,271,693.0,19.0,769.2,0.0,33.9,91.9,643.4,4755.5,1311.0,3352.5,91.9,sulphur city,"sulphur city,LA",16000US2273640
Tangipahoa Parish Sheriff Department,LA,12,,732.0,7,44.0,53,628,3724.0,1384,2151.0,189.0,,,,,,,,,,tangipahoa parish,"tangipahoa parish,LA",05000US22105
Terrebonne Parish Sheriff Department,LA,12,,221.0,3,19.0,41,158,2625.0,483,1963.0,179.0,,,,,,,,,,terrebonne parish,"terrebonne parish,LA",05000US22109
Vermilion Parish Sheriff Department,LA,12,,86.0,1,12.0,7,66,772.0,248,495.0,29.0,,,,,,,,,,vermilion parish,"vermilion parish,LA",05000US22113
Vernon Parish Sheriff Department,LA,12,,84.0,1,11.0,4,68,713.0,53,586.0,74.0,,,,,,,,,,vernon parish,"vernon parish,LA",05000US22115
Washington Parish Sheriff Department,LA,12,,89.0,2,10.0,3,74,838.0,263,536.0,39.0,,,,,,,,,,washington parish,"washington parish,LA",05000US22117
Androscoggin County Sheriff Department,ME,12,,11.0,0,8.0,2,1,239.0,106,129.0,4.0,,,,,,,,,,androscoggin county,"androscoggin county,ME",05000US23001
Aroostook County Sheriff Department,ME,12,,1.0,0,0.0,0,1,68.0,26,38.0,4.0,,,,,,,,,,aroostook county,"aroostook county,ME",05000US23003
Cumberland County Sheriff Department,ME,12,,29.0,0,2.0,7,20,775.0,312,425.0,38.0,,,,,,,,,,cumberland county,"cumberland county,ME",05000US23005
Hancock County Sheriff Office,ME,12,,2.0,0,0.0,1,1,246.0,47,196.0,3.0,,,,,,,,,,hancock county,"hancock county,ME",05000US23009
Kennebec County Sheriff Department,ME,12,,20.0,0,11.0,2,7,425.0,162,242.0,21.0,,,,,,,,,,kennebec county,"kennebec county,ME",05000US23011
Oxford County Sheriff Department,ME,12,,19.0,0,9.0,4,6,355.0,125,220.0,10.0,,,,,,,,,,oxford county,"oxford county,ME",05000US23017
Somerset County Sheriff Office,ME,12,,21.0,0,10.0,3,8,376.0,156,209.0,11.0,,,,,,,,,,somerset county,"somerset county,ME",05000US23025
Waldo County Sheriff Department,ME,12,,13.0,0,2.0,1,10,242.0,104,130.0,8.0,,,,,,,,,,waldo county,"waldo county,ME",05000US23027
York County Sheriff Department,ME,12,,30.0,0,4.0,3,23,383.0,129,231.0,23.0,,,,,,,,,,york county,"york county,ME",05000US23031
Anne Arundel County Police Department,MD,9,,1557.0,5,73.0,340,1139,10076.0,1750,7676.0,650.0,,,,,,,,,,anne arundel county,"anne arundel county,MD",05000US24003
Baltimore City Police Dept,MD,12,625474.0,8789.0,218,315.0,3605,4651,29149.0,7770,17397.0,3982.0,1405.2,34.9,50.4,576.4,743.6,4660.3,1242.3,2781.4,636.6,baltimore city,"baltimore city,MD",16000US2404000
Baltimore County Police Department,MD,12,,4145.0,24,145.0,1367,2609,23327.0,4061,17704.0,1562.0,,,,,,,,,,baltimore county,"baltimore county,MD",05000US24005
Bel Air Police Dept,MD,12,10285.0,40.0,1,1.0,4,34,366.0,27,331.0,8.0,388.9,9.7,9.7,38.9,330.6,3558.6,262.5,3218.3,77.8,bel air,"bel air,MD",16000US2405825
Cecil County Sheriff Department,MD,12,,166.0,0,21.0,25,120,885.0,319,510.0,56.0,,,,,,,,,,cecil county,"cecil county,MD",05000US24015
Charles County Sheriff Office,MD,12,,536.0,6,32.0,145,353,3062.0,581,2302.0,179.0,,,,,,,,,,charles county,"charles county,MD",05000US24017
Garrett County Sheriff Office,MD,12,,30.0,1,0.0,2,27,321.0,74,231.0,16.0,,,,,,,,,,garrett county,"garrett county,MD",05000US24023
Harford County Sheriff Office,MD,12,,487.0,2,43.0,100,342,2451.0,779,1542.0,130.0,,,,,,,,,,harford county,"harford county,MD",05000US24025
Howard County Police Department,MD,12,,574.0,4,34.0,177,359,6410.0,1185,4913.0,312.0,,,,,,,,,,howard county,"howard county,MD",05000US24027
Montgomery County Police Department,MD,12,,1795.0,14,102.0,829,850,16695.0,2600,13083.0,1012.0,,,,,,,,,,montgomery county,"montgomery county,MD",05000US24031
Washington County Sheriff Department,MD,12,,155.0,0,7.0,21,127,1332.0,423,835.0,74.0,,,,,,,,,,washington county,"washington county,MD",05000US24043
Wicomico County Sheriff Department,MD,12,,81.0,2,4.0,18,57,794.0,254,505.0,35.0,,,,,,,,,,wicomico county,"wicomico county,MD",05000US24045
Agawam Police Dept,MA,12,28708.0,34.0,0,5.0,5,24,272.0,108,140.0,24.0,118.4,0.0,17.4,17.4,83.6,947.5,376.2,487.7,83.6,agawam,"agawam,MA",16000US2500840
Barnstable Police Dept,MA,12,45570.0,283.0,1,22.0,29,231,1269.0,378,847.0,44.0,621.0,2.2,48.3,63.6,506.9,2784.7,829.5,1858.7,96.6,barnstable,"barnstable,MA",16000US2503690
Braintree Police Dept,MA,12,36310.0,30.0,0,2.0,15,13,700.0,133,530.0,37.0,82.6,0.0,5.5,41.3,35.8,1927.8,366.3,1459.7,101.9,braintree,"braintree,MA",16000US2507740
Franklin Police Dept,MA,12,32134.0,11.0,0,0.0,9,2,135.0,43,90.0,2.0,34.2,0.0,0.0,28.0,6.2,420.1,133.8,280.1,6.2,franklin,"franklin,MA",16000US2525172
Methuen Police Dept,MA,12,48051.0,78.0,0,1.0,14,63,870.0,142,658.0,70.0,162.3,0.0,2.1,29.1,131.1,1810.6,295.5,1369.4,145.7,methuen,"methuen,MA",16000US2540710
Norfolk Police Dept,MA,12,11390.0,1.0,0,0.0,1,0,56.0,19,34.0,3.0,8.8,0.0,0.0,8.8,0.0,491.7,166.8,298.5,26.3,norfolk,"norfolk,MA",05000US25021
Plymouth Police Dept,MA,12,57272.0,107.0,0,4.0,9,94,723.0,213,498.0,12.0,186.8,0.0,7.0,15.7,164.1,1262.4,371.9,869.5,21.0,plymouth,"plymouth,MA",05000US25023
Watertown Police Dept,MA,12,32535.0,56.0,0,3.0,6,47,528.0,66,442.0,20.0,172.1,0.0,9.2,18.4,144.5,1622.9,202.9,1358.5,61.5,watertown,"watertown,MA",16000US2573440
West Springfield Police Dept,MA,12,28663.0,156.0,0,16.0,33,107,1365.0,267,989.0,109.0,544.3,0.0,55.8,115.1,373.3,4762.2,931.5,3450.4,380.3,west springfield,"west springfield,MA",16000US2577890
Weymouth Police Dept,MA,12,54597.0,188.0,0,9.0,42,137,805.0,210,551.0,44.0,344.3,0.0,16.5,76.9,250.9,1474.4,384.6,1009.2,80.6,weymouth,"weymouth,MA",16000US2578972
Worcester Police Dept,MA,12,183247.0,1758.0,8,33.0,419,1298,6432.0,2040,3927.0,465.0,959.4,4.4,18.0,228.7,708.3,3510.0,1113.3,2143.0,253.8,worcester,"worcester,MA",05000US25027
Auburn Hills City Police Dept,MI,12,21559.0,45.0,0,8.0,13,24,830.0,102,700.0,28.0,208.7,0.0,37.1,60.3,111.3,3849.9,473.1,3246.9,129.9,auburn hills city,"auburn hills city,MI",16000US2604105
Barry County Sheriff Department,MI,12,,31.0,0,7.0,1,23,340.0,92,231.0,17.0,,,,,,,,,,barry county,"barry county,MI",05000US26015
Bay County Sheriff Office,MI,12,,44.0,0,8.0,5,31,704.0,123,549.0,32.0,,,,,,,,,,bay county,"bay county,MI",05000US26017
Berrien County Sheriff Office,MI,12,,91.0,2,14.0,6,69,640.0,195,416.0,29.0,,,,,,,,,,berrien county,"berrien county,MI",05000US26021
Branch County Sheriff Department,MI,12,,21.0,0,6.0,0,15,242.0,102,134.0,6.0,,,,,,,,,,branch county,"branch county,MI",05000US26023
Burton City Police Dept,MI,12,29758.0,144.0,1,14.0,55,74,1562.0,443,1061.0,58.0,483.9,3.4,47.0,184.8,248.7,5249.0,1488.7,3565.4,194.9,burton city,"burton city,MI",16000US2612060
Calhoun County Sheriff Office,MI,12,,50.0,2,9.0,4,35,454.0,179,254.0,21.0,,,,,,,,,,calhoun county,"calhoun county,MI",05000US26025
Cass County Sheriff Department,MI,12,,40.0,3,16.0,1,20,605.0,270,315.0,20.0,,,,,,,,,,cass county,"cass county,MI",05000US26027
Clare County Sheriff Department,MI,2,,0.0,0,0.0,0,0,20.0,16,4.0,0.0,,,,,,,,,,clare county,"clare county,MI",05000US26035
Clinton County Sheriff Office,MI,12,,10.0,0,4.0,1,5,182.0,68,100.0,14.0,,,,,,,,,,clinton county,"clinton county,MI",05000US26037
Dearborn Police Dept,MI,12,97215.0,322.0,1,24.0,107,190,3282.0,462,2463.0,357.0,331.2,1.0,24.7,110.1,195.4,3376.0,475.2,2533.6,367.2,dearborn,"dearborn,MI",16000US2621020
Eaton County Sheriff Office,MI,12,,82.0,0,11.0,24,47,1115.0,212,870.0,33.0,,,,,,,,,,eaton county,"eaton county,MI",05000US26045
Emmet County Sheriff Department,MI,12,,22.0,0,8.0,0,14,228.0,43,182.0,3.0,,,,,,,,,,emmet county,"emmet county,MI",05000US26047
Farmington Public Safety Dept,MI,12,10446.0,16.0,0,2.0,0,14,151.0,20,123.0,8.0,153.2,0.0,19.1,0.0,134.0,1445.5,191.5,1177.5,76.6,farmington,"farmington,MI",16000US2627440
Flint City Police Dept,MI,12,101632.0,2774.0,63,108.0,673,1930,5645.0,2979,2207.0,459.0,2729.5,62.0,106.3,662.2,1899.0,5554.4,2931.2,2171.6,451.6,flint city,"flint city,MI",16000US2629000
Genesee County Sheriff Department,MI,12,,38.0,0,15.0,3,20,656.0,195,430.0,31.0,,,,,,,,,,genesee county,"genesee county,MI",05000US26049
Hillsdale County Sheriff Department,MI,12,,28.0,0,7.0,0,21,177.0,61,114.0,2.0,,,,,,,,,,hillsdale county,"hillsdale county,MI",05000US26059
Ingham County Sheriff Department,MI,12,,93.0,1,13.0,5,74,670.0,199,441.0,30.0,,,,,,,,,,ingham county,"ingham county,MI",05000US26065
Isabella County Sheriff Department,MI,12,,45.0,1,10.0,1,33,415.0,122,277.0,16.0,,,,,,,,,,isabella county,"isabella county,MI",05000US26073
Jackson City Police Dept,MI,12,33449.0,256.0,3,23.0,50,180,1368.0,349,946.0,73.0,765.3,9.0,68.8,149.5,538.1,4089.8,1043.4,2828.2,218.2,jackson city,"jackson city,MI",16000US2641420
Jackson County Sheriff Office,MI,12,,103.0,4,9.0,5,85,589.0,161,406.0,22.0,,,,,,,,,,jackson county,"jackson county,MI",05000US26075
Kalamazoo County Sheriff Department,MI,12,,132.0,2,21.0,26,83,1625.0,391,1172.0,62.0,,,,,,,,,,kalamazoo county,"kalamazoo county,MI",05000US26077
Kent County Sheriff Office,MI,12,,357.0,1,58.0,57,241,3031.0,886,2039.0,106.0,,,,,,,,,,kent county,"kent county,MI",05000US26081
Lansing City Police Dept,MI,12,114688.0,1078.0,13,92.0,203,770,3774.0,1307,2203.0,264.0,939.9,11.3,80.2,177.0,671.4,3290.7,1139.6,1920.9,230.2,lansing city,"lansing city,MI",16000US2646000
Lapeer County Sheriff Department,MI,12,,51.0,0,15.0,2,34,388.0,125,244.0,19.0,,,,,,,,,,lapeer county,"lapeer county,MI",05000US26087
Lenawee County Sheriff Department,MI,10,,38.0,0,14.0,1,23,307.0,78,218.0,11.0,,,,,,,,,,lenawee county,"lenawee county,MI",05000US26091
Lincoln Park City Police Dept,MI,12,37779.0,222.0,1,10.0,54,157,1549.0,384,972.0,193.0,587.6,2.6,26.5,142.9,415.6,4100.2,1016.4,2572.9,510.9,lincoln park city,"lincoln park city,MI",16000US2647800
Livingston County Sheriff Department,MI,12,,42.0,0,18.0,4,20,792.0,189,553.0,50.0,,,,,,,,,,livingston county,"livingston county,MI",05000US26093
Macomb County Sheriff Office,MI,12,,308.0,0,48.0,38,222,2259.0,441,1668.0,150.0,,,,,,,,,,macomb county,"macomb county,MI",05000US26099
Mecosta County Sheriff Office,MI,12,,193.0,0,6.0,0,187,464.0,119,329.0,16.0,,,,,,,,,,mecosta county,"mecosta county,MI",05000US26107
Midland City Police Dept,MI,12,42106.0,38.0,1,15.0,5,17,457.0,56,400.0,1.0,90.2,2.4,35.6,11.9,40.4,1085.4,133.0,950.0,2.4,midland city,"midland city,MI",16000US2653780
Midland County Sheriff Office,MI,12,,52.0,1,25.0,0,26,415.0,132,275.0,8.0,,,,,,,,,,midland county,"midland county,MI",05000US26111
Monroe County Sheriff Department,MI,12,,209.0,4,41.0,58,106,2614.0,708,1738.0,168.0,,,,,,,,,,monroe county,"monroe county,MI",05000US26115
Montcalm County Sheriff Office,MI,12,,43.0,1,11.0,1,30,459.0,141,301.0,17.0,,,,,,,,,,montcalm county,"montcalm county,MI",05000US26117
Muskegon County Sheriff Department,MI,12,,46.0,0,8.0,1,37,821.0,217,575.0,29.0,,,,,,,,,,muskegon county,"muskegon county,MI",05000US26121
Newaygo County Sheriff Office,MI,1,,0.0,0,0.0,0,0,0.0,0,0.0,0.0,,,,,,,,,,newaygo county,"newaygo county,MI",05000US26123
Novi City Police Dept,MI,12,55623.0,37.0,0,4.0,9,24,1048.0,72,937.0,39.0,66.5,0.0,7.2,16.2,43.1,1884.1,129.4,1684.6,70.1,novi city,"novi city,MI",16000US2659440
Oakland County Sheriff Office,MI,12,,1025.0,19,66.0,204,736,5412.0,1697,3379.0,336.0,,,,,,,,,,oakland county,"oakland county,MI",05000US26125
Ottawa County Sheriff Department,MI,12,,319.0,2,118.0,21,178,3427.0,919,2439.0,69.0,,,,,,,,,,ottawa county,"ottawa county,MI",05000US26139
Portage City Police Dept,MI,12,46658.0,76.0,0,23.0,15,38,1643.0,184,1418.0,41.0,162.9,0.0,49.3,32.1,81.4,3521.4,394.4,3039.1,87.9,portage city,"portage city,MI",16000US2665560
Rochester Police Dept,MI,12,12802.0,9.0,0,1.0,2,6,132.0,24,101.0,7.0,70.3,0.0,7.8,15.6,46.9,1031.1,187.5,788.9,54.7,rochester,"rochester,MI",16000US2669035
Royal Oak City Police Dept,MI,12,57649.0,72.0,0,9.0,12,51,1008.0,179,742.0,87.0,124.9,0.0,15.6,20.8,88.5,1748.5,310.5,1287.1,150.9,royal oak city,"royal oak city,MI",16000US2670040
Saginaw City Police Dept,MI,12,51267.0,1211.0,27,65.0,167,952,1765.0,1042,618.0,105.0,2362.1,52.7,126.8,325.7,1856.9,3442.8,2032.5,1205.5,204.8,saginaw city,"saginaw city,MI",16000US2670520
Saginaw County Sheriff Department,MI,12,,91.0,0,11.0,15,65,621.0,167,416.0,38.0,,,,,,,,,,saginaw county,"saginaw county,MI",05000US26145
Sanilac County Sheriff Department,MI,12,,30.0,0,5.0,1,24,245.0,92,142.0,11.0,,,,,,,,,,sanilac county,"sanilac county,MI",05000US26151
Shiawassee County Sheriff Department,MI,12,,55.0,1,13.0,5,36,441.0,110,318.0,13.0,,,,,,,,,,shiawassee county,"shiawassee county,MI",05000US26155
St. Clair County Sheriff Department,MI,12,,134.0,2,21.0,8,103,1380.0,348,958.0,74.0,,,,,,,,,,st. clair county,"st. clair county,MI",05000US26147
St. Joseph County Sheriff Office,MI,12,,36.0,0,12.0,1,23,215.0,59,145.0,11.0,,,,,,,,,,st. joseph county,"st. joseph county,MI",05000US26149
Taylor City Police Dept,MI,12,62534.0,303.0,1,31.0,60,211,2398.0,563,1581.0,254.0,484.5,1.6,49.6,95.9,337.4,3834.7,900.3,2528.2,406.2,taylor city,"taylor city,MI",16000US2679000
Tuscola County Sheriff Office,MI,12,,39.0,0,14.0,1,24,353.0,133,203.0,17.0,,,,,,,,,,tuscola county,"tuscola county,MI",05000US26157
Van Buren County Sheriff Department,MI,11,,52.0,0,20.0,1,31,234.0,75,139.0,20.0,,,,,,,,,,van buren county,"van buren county,MI",05000US26159
Washtenaw County Sheriff Department,MI,12,,446.0,1,66.0,67,312,2217.0,878,1172.0,167.0,,,,,,,,,,washtenaw county,"washtenaw county,MI",05000US26161
Beltrami County Sheriff Office,MN,12,,,0,,6,30,422.0,138,270.0,14.0,,,,,,,,,,beltrami county,"beltrami county,MN",05000US27007
Carver County Sheriff Office,MN,12,,,1,,4,21,749.0,126,601.0,22.0,,,,,,,,,,carver county,"carver county,MN",05000US27019
Cass County Sheriff Office,MN,12,,,3,,1,18,1059.0,216,785.0,58.0,,,,,,,,,,cass county,"cass county,MN",05000US27021
Champlin City Police Dept,MN,12,23568.0,,0,,2,10,382.0,66,312.0,4.0,,0.0,,8.5,42.4,1620.8,280.0,1323.8,17.0,champlin city,"champlin city,MN",16000US2710846
Chaska City Police Dept,MN,12,24344.0,,0,,3,10,339.0,36,300.0,3.0,,0.0,,12.3,41.1,1392.5,147.9,1232.3,12.3,chaska city,"chaska city,MN",16000US2710972
Chisago County Sheriff Office,MN,12,,,0,,0,7,102.0,22,74.0,6.0,,,,,,,,,,chisago county,"chisago county,MN",05000US27025
Crow Wing County Sheriff Office,MN,12,,,1,,2,20,523.0,194,307.0,22.0,,,,,,,,,,crow wing county,"crow wing county,MN",05000US27035
Duluth City Police Dept,MN,12,86830.0,,2,,90,213,3861.0,642,3047.0,172.0,,2.3,,103.7,245.3,4446.6,739.4,3509.2,198.1,duluth city,"duluth city,MN",16000US2717000
Eagan City Police Dept,MN,12,65180.0,,0,,11,15,1526.0,181,1301.0,44.0,,0.0,,16.9,23.0,2341.2,277.7,1996.0,67.5,eagan city,"eagan city,MN",16000US2717288
Isanti County Sheriff Office,MN,12,,,0,,0,9,273.0,63,187.0,23.0,,,,,,,,,,isanti county,"isanti county,MN",05000US27059
Itasca County Sheriff Department,MN,12,,,0,,0,24,359.0,72,283.0,4.0,,,,,,,,,,itasca county,"itasca county,MN",05000US27061
Morrison County Sheriff Department,MN,12,,,2,,0,2,211.0,38,161.0,12.0,,,,,,,,,,morrison county,"morrison county,MN",05000US27097
Olmsted County Sheriff Office,MN,12,,,1,,0,16,386.0,149,207.0,30.0,,,,,,,,,,olmsted county,"olmsted county,MN",05000US27109
Pine County Sheriff Department,MN,12,,,0,,2,46,1049.0,198,774.0,77.0,,,,,,,,,,pine county,"pine county,MN",05000US27115
Ramsey Police Dept,MN,12,23988.0,,0,,2,7,532.0,68,456.0,8.0,,0.0,,8.3,29.2,2217.8,283.5,1901.0,33.4,ramsey,"ramsey,MN",05000US27123
Scott County Sheriff Office,MN,12,,,0,,0,5,20.0,6,13.0,1.0,,,,,,,,,,scott county,"scott county,MN",05000US27139
Sherburne County Sheriff Department,MN,12,,,0,,1,18,509.0,109,365.0,35.0,,,,,,,,,,sherburne county,"sherburne county,MN",05000US27141
St. Louis County Sheriff Office,MN,12,,,0,,2,36,711.0,273,385.0,53.0,,,,,,,,,,st. louis county,"st. louis county,MN",05000US27137
Stearns County Sheriff Office,MN,12,,,3,,3,17,442.0,90,332.0,20.0,,,,,,,,,,stearns county,"stearns county,MN",05000US27145
Winona Police Dept,MN,12,27731.0,,0,,7,21,498.0,91,380.0,27.0,,0.0,,25.2,75.7,1795.8,328.2,1370.3,97.4,winona,"winona,MN",05000US27169
Wright County Sheriff Department,MN,12,,,0,,7,44,1828.0,169,1587.0,72.0,,,,,,,,,,wright county,"wright county,MN",05000US27171
Desoto County Sheriff Office,MS,8,,6.0,0,2.0,1,3,292.0,124,156.0,12.0,,,,,,,,,,desoto county,"desoto county,MS",05000US28033
Grenada Police Dept,MS,9,13001.0,56.0,5,4.0,16,31,406.0,158,238.0,10.0,,,,,,,,,,grenada,"grenada,MS",05000US28043
Harrison County Sheriff Department,MS,12,,43.0,5,5.0,11,22,1155.0,410,682.0,63.0,,,,,,,,,,harrison county,"harrison county,MS",05000US28047
Hinds County Sheriff Department,MS,12,,34.0,3,1.0,5,25,469.0,230,183.0,56.0,,,,,,,,,,hinds county,"hinds county,MS",05000US28049
Jones County Sheriff Office,MS,10,,80.0,1,18.0,12,49,710.0,294,416.0,0.0,,,,,,,,,,jones county,"jones county,MS",05000US28067
Lamar County Sheriff Office,MS,10,,14.0,0,4.0,3,7,608.0,348,250.0,10.0,,,,,,,,,,lamar county,"lamar county,MS",05000US28073
Lauderdale County Sheriff Department,MS,12,,41.0,2,9.0,10,20,612.0,330,242.0,40.0,,,,,,,,,,lauderdale county,"lauderdale county,MS",05000US28075
Lee County Sheriff Department,MS,12,,46.0,0,3.0,7,36,652.0,243,383.0,26.0,,,,,,,,,,lee county,"lee county,MS",05000US28081
Lowndes County Sheriff Office,MS,11,,48.0,0,3.0,3,42,466.0,242,209.0,15.0,,,,,,,,,,lowndes county,"lowndes county,MS",05000US28087
Oxford City Police Dept,MS,12,19435.0,8.0,0,1.0,3,4,210.0,50,147.0,13.0,41.2,0.0,5.1,15.4,20.6,1080.5,257.3,756.4,66.9,oxford city,"oxford city,MS",16000US2854840
Panola County Sheriff Office,MS,12,,115.0,2,1.0,4,108,739.0,398,319.0,22.0,,,,,,,,,,panola county,"panola county,MS",05000US28107
Pontotoc County Sheriff Department,MS,1,,0.0,0,0.0,0,0,0.0,0,0.0,0.0,,,,,,,,,,pontotoc county,"pontotoc county,MS",05000US28115
Rankin County Sheriff Department,MS,12,,38.0,3,2.0,6,27,638.0,134,456.0,48.0,,,,,,,,,,rankin county,"rankin county,MS",05000US28121
Boone County Sheriff Department,MO,12,,114.0,0,3.0,14,97,779.0,200,530.0,49.0,,,,,,,,,,boone county,"boone county,MO",05000US29019
Butler County Sheriff Office,MO,12,,100.0,0,11.0,7,82,672.0,177,460.0,35.0,,,,,,,,,,butler county,"butler county,MO",05000US29023
Callaway County Sheriff Office,MO,12,,53.0,0,1.0,3,49,737.0,209,497.0,31.0,,,,,,,,,,callaway county,"callaway county,MO",05000US29027
Camden County Sheriff Department,MO,12,,38.0,0,1.0,0,37,409.0,117,273.0,19.0,,,,,,,,,,camden county,"camden county,MO",05000US29029
Cape Girardeau Police Dept,MO,12,38474.0,243.0,3,12.0,66,162,2628.0,500,2052.0,76.0,631.6,7.8,31.2,171.5,421.1,6830.6,1299.6,5333.5,197.5,cape girardeau,"cape girardeau,MO",05000US29031
Cass County Sheriff Office,MO,12,,46.0,1,6.0,1,38,367.0,94,244.0,29.0,,,,,,,,,,cass county,"cass county,MO",05000US29037
Christian County Sheriff Office,MO,12,,55.0,0,0.0,2,53,350.0,124,180.0,46.0,,,,,,,,,,christian county,"christian county,MO",05000US29043
Cole County Sheriff Office,MO,12,,55.0,0,3.0,2,50,262.0,91,151.0,20.0,,,,,,,,,,cole county,"cole county,MO",05000US29051
Franklin County Sheriff Office,MO,12,,50.0,2,1.0,2,45,561.0,147,371.0,43.0,,,,,,,,,,franklin county,"franklin county,MO",05000US29071
Greene County Sheriff Department,MO,12,,88.0,1,20.0,6,61,1737.0,524,1050.0,163.0,,,,,,,,,,greene county,"greene county,MO",05000US29077
Jackson Police Dept,MO,12,13964.0,27.0,0,2.0,0,25,338.0,69,257.0,12.0,193.4,0.0,14.3,0.0,179.0,2420.5,494.1,1840.4,85.9,jackson,"jackson,MO",05000US29095
Jasper County Sheriff Department,MO,12,,172.0,0,9.0,3,160,753.0,271,415.0,67.0,,,,,,,,,,jasper county,"jasper county,MO",05000US29097
Jefferson County Sheriff Department,MO,12,,303.0,5,23.0,12,263,2498.0,456,1844.0,198.0,,,,,,,,,,jefferson county,"jefferson county,MO",05000US29099
Johnson County Sheriff Department,MO,12,,17.0,1,1.0,0,15,393.0,124,246.0,23.0,,,,,,,,,,johnson county,"johnson county,MO",05000US29101
Lincoln County Sheriff Department,MO,12,,57.0,0,0.0,0,57,297.0,123,151.0,23.0,,,,,,,,,,lincoln county,"lincoln county,MO",05000US29113
Newton County Sheriff Office,MO,12,,74.0,3,17.0,4,50,909.0,254,575.0,80.0,,,,,,,,,,newton county,"newton county,MO",05000US29145
Platte County Sheriff Department,MO,12,,55.0,2,3.0,1,49,353.0,87,240.0,26.0,,,,,,,,,,platte county,"platte county,MO",05000US29165
Pulaski County Sheriff Department,MO,12,,154.0,3,12.0,9,130,512.0,221,265.0,26.0,,,,,,,,,,pulaski county,"pulaski county,MO",05000US29169
St. Louis Police Dept,MO,12,318667.0,5661.0,113,199.0,1778,3571,21995.0,4986,13520.0,3489.0,1776.5,35.5,62.4,557.9,1120.6,6902.2,1564.6,4242.7,1094.9,st. louis,"st. louis,MO",05000US29189
Stone County Sheriff Office,MO,12,,121.0,1,4.0,1,115,456.0,130,292.0,34.0,,,,,,,,,,stone county,"stone county,MO",05000US29209
Taney County Sheriff Office,MO,12,,83.0,0,5.0,3,75,494.0,146,302.0,46.0,,,,,,,,,,taney county,"taney county,MO",05000US29213
Washington Police Dept,MO,12,14071.0,19.0,0,1.0,4,14,489.0,77,399.0,13.0,135.0,0.0,7.1,28.4,99.5,3475.2,547.2,2835.6,92.4,washington,"washington,MO",05000US29221
Flathead County Sheriff Department,MT,12,,150.0,0,12.0,5,133,1258.0,318,878.0,62.0,,,,,,,,,,flathead county,"flathead county,MT",05000US30029
Gallatin County Sheriff Department,MT,12,,52.0,0,16.0,1,35,380.0,54,309.0,17.0,,,,,,,,,,gallatin county,"gallatin county,MT",05000US30031
Missoula City Police Dept,MT,12,67758.0,221.0,0,25.0,33,163,3041.0,378,2558.0,105.0,326.2,0.0,36.9,48.7,240.6,4488.0,557.9,3775.2,155.0,missoula city,"missoula city,MT",16000US3050200
Missoula County Sheriff Office,MT,12,,100.0,0,16.0,5,79,479.0,80,358.0,41.0,,,,,,,,,,missoula county,"missoula county,MT",05000US30063
Ravalli County Sheriff Office,MT,12,,44.0,1,3.0,1,39,357.0,37,304.0,16.0,,,,,,,,,,ravalli county,"ravalli county,MT",05000US30081
Yellowstone County Sheriff Office,MT,12,,53.0,1,1.0,1,50,634.0,164,412.0,58.0,,,,,,,,,,yellowstone county,"yellowstone county,MT",05000US30111
