usps,geoid,ansicode,county,aland,awater,aland_sqmi,awater_sqmi,intptlat,intptlong,county_name,county_suffix
fl,0012027,294452,desoto county,1649969833,6247258,637.057,2.412,27.190580999999998,-81.806253,desoto,county
fl,0012029,295725,dixie county,1826212220,410631204,705.105,158.546,29.580899,-83.195666,dixie,county
fl,0012031,293656,duval county,1975212116,403585661,762.6339999999999,155.825,30.335245,-81.648113,duval,county
fl,0012033,295737,escambia county,1701333078,564141123,656.888,217.81599999999997,30.611638,-87.3389,escambia,county
fl,0012035,308547,flagler county,1257381234,221047055,485.478,85.34700000000001,29.474912,-81.286305,flagler,county
fl,0012037,306911,franklin county,1411918787,1275526882,545.145,492.48400000000004,29.810176000000002,-84.799174,franklin,county
fl,0012039,306918,gadsden county,1337193225,31687292,516.293,12.235,30.578687,-84.612607,gadsden,county
fl,0012041,303633,gilchrist county,905705535,14362140,349.695,5.545,29.723456,-82.795801,gilchrist,county
fl,0012043,295743,glades county,2087858356,468345889,806.127,180.829,26.95481,-81.19082,glades,county
fl,0012045,306917,gulf county,1433780571,494266689,553.586,190.83700000000002,29.907257,-85.256537,gulf,county
fl,0012047,295736,hamilton county,1330689616,13659747,513.7819999999999,5.274,30.491226,-82.95106899999999,hamilton,county
fl,0012049,295746,hardee county,1651878527,1439671,637.794,0.556,27.492846000000004,-81.82158000000001,hardee,county
fl,0012051,307626,hendry county,2985561175,96568463,1152.732,37.285,26.539966999999997,-81.152114,hendry,county
fl,0012053,295751,hernando county,1224610707,300943399,472.825,116.195,28.573043,-82.466227,hernando,county
fl,0012055,295756,highlands county,2632923653,231677881,1016.578,89.45100000000001,27.342627,-81.340921,highlands,county
fl,0012057,295757,hillsborough county,2642425373,635769413,1020.2460000000001,245.472,27.906607,-82.349719,hillsborough,county
fl,0012059,295735,holmes county,1239970321,26656194,478.755,10.292,30.866221999999997,-85.81295899999999,holmes,county
fl,0012061,307624,indian river county,1302337265,295575883,502.835,114.12200000000001,27.700638,-80.574803,indian river,county
fl,0012063,295734,jackson county,2376988243,95321518,917.76,36.804,30.78925,-85.208813,jackson,county
fl,0012065,295733,jefferson county,1549064110,99559034,598.097,38.44,30.424558,-83.89085899999999,jefferson,county
fl,0012067,295732,lafayette county,1407428358,11646265,543.411,4.497,29.990066,-83.17851,lafayette,county
fl,0012069,308551,lake county,2432128342,564385646,939.05,217.91099999999997,28.764113000000002,-81.712282,lake,county
fl,0012071,295758,lee county,2031314797,1108735941,784.295,428.085,26.551634000000004,-81.89250899999999,lee,county
fl,0012073,306916,leon county,1727171499,90454046,666.865,34.925,30.45931,-84.2778,leon,county
fl,0012075,295724,levy county,2896185668,762933532,1118.224,294.57,29.284457,-82.783462,levy,county
fl,0012077,308549,liberty county,2164095621,19582533,835.562,7.561,30.259849,-84.86858000000001,liberty,county
fl,0012079,295731,madison county,1802873925,50729938,696.0939999999999,19.587,30.447233,-83.470416,madison,county
fl,0012081,295744,manatee county,1924779584,387447289,743.1619999999999,149.594,27.481682,-82.368767,manatee,county
fl,0012083,306922,marion county,4112985605,193292657,1588.033,74.631,29.202804999999998,-82.0431,marion,county
fl,0012085,308550,martin county,1408245159,542261306,543.727,209.368,27.083603999999998,-80.398201,martin,county
fl,0012086,295755,miami-dade county,4915222406,1381496821,1897.7779999999998,533.399,25.610494,-80.499045,miami-dade,county
fl,0012087,295759,monroe county,2546078824,7133346900,983.047,2754.2009999999996,25.601043,-81.206777,monroe,county
fl,0012089,295730,nassau county,1679963361,200158799,648.638,77.282,30.605926,-81.76492900000001,nassau,county
fl,0012091,306915,okaloosa county,2409333450,393236330,930.2489999999999,151.829,30.665851,-86.594187,okaloosa,county
fl,0012093,295760,okeechobee county,1991730054,318560333,769.0110000000001,122.99700000000001,27.385592,-80.887388,okeechobee,county
fl,0012095,295750,orange county,2339474428,258901853,903.2760000000001,99.963,28.514435,-81.323295,orange,county
fl,0012097,295748,osceola county,3438629385,461990513,1327.662,178.37599999999998,28.059027,-81.139312,osceola,county
fl,0012099,295761,palm beach county,5101841149,1070124754,1969.832,413.17699999999996,26.649124,-80.448374,palm beach,county
fl,0012101,295739,pasco county,1936579911,312705136,747.7180000000001,120.736,28.307465000000004,-82.464584,pasco,county
fl,0012103,295745,pinellas county,709119486,865925576,273.793,334.336,27.903121999999996,-82.739518,pinellas,county
fl,0012105,295747,polk county,4656138685,550912147,1797.745,212.708,27.953115000000004,-81.69278299999999,polk,county
fl,0012107,306910,putnam county,1885200241,256515550,727.88,99.041,29.606006,-81.740894,putnam,county
fl,0012109,308371,st. johns county,1555737144,572005083,600.673,220.852,29.890644,-81.383948,st. johns,county
fl,0012111,308372,st. lucie county,1480639165,300860806,571.678,116.163,27.379812,-80.443537,st. lucie,county
fl,0012113,306914,santa rosa county,2620446126,419623235,1011.76,162.017,30.701838000000002,-87.012762,santa rosa,county
fl,0012115,295741,sarasota county,1439454673,439001065,555.7769999999999,169.49900000000002,27.184386,-82.365835,sarasota,county
fl,0012117,303665,seminole county,801155809,93184977,309.328,35.979,28.690078999999997,-81.13198,seminole,county
fl,0012119,295740,sumter county,1417597235,84143778,547.337,32.488,28.714294,-82.074715,sumter,county
fl,0012121,295729,suwannee county,1783341041,9594283,688.552,3.7039999999999997,30.189244,-82.992754,suwannee,county
fl,0012123,295728,taylor county,2702176292,489261991,1043.316,188.905,30.009908000000003,-83.609483,taylor,county
fl,0012125,306913,union county,630807214,16049080,243.55599999999998,6.197,30.05428,-82.366918,union,county
fl,0012127,306921,volusia county,2851293762,858698440,1100.891,331.545,29.057769,-81.161792,volusia,county
fl,0012129,306912,wakulla county,1570618861,334903846,606.419,129.30700000000002,30.140358000000003,-84.375112,wakulla,county
fl,0012131,295727,walton county,2687633082,522902349,1037.701,201.894,30.631210999999997,-86.176614,walton,county
fl,0012133,295762,washington county,1509528113,85786027,582.832,33.122,30.602217,-85.662797,washington,county
ga,0013001,349113,appling county,1313334996,13416329,507.08099999999996,5.18,31.739712,-82.290103,appling,county
ga,0013003,345784,atkinson county,879043391,13294251,339.401,5.132999999999999,31.296861,-82.878199,atkinson,county
ga,0013005,344784,bacon county,670556263,69720506,258.903,26.919,31.563327,-82.38785899999999,bacon,county
